GeneID	Symbol	Description	log2(fold change)	-log10(Pvalue)
11315	PARK7	Parkinsonism associated deglycase	-1.153	4.5
765	CA6	carbonic anhydrase 6	5.839	3.05
6518	SLC2A5	solute carrier family 2 member 5	-1.861	1.737
80045	GPR157	G protein-coupled receptor 157	1.847	2.137
9563	H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase	0.903	1.788
5293	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	-2.253	7.308
22883	CLSTN1	calsyntenin 1	0.95	2.578
56998	CTNNBIP1	catenin beta interacting protein 1	3.857	41.252
105376717	LOC105376717	uncharacterized LOC105376717	2.78	2.352
10277	UBE4B	ubiquitination factor E4B	1.032	4.048
5226	PGD	phosphogluconate dehydrogenase	-2.073	3.78
54897	CASZ1	castor zinc finger 1	3.468	9.474
10747	MASP2	MBL associated serine protease 2	1.23	1.551
6723	SRM	spermidine synthase	-1.441	5.622
93611	FBXO44	F-box protein 44	0.906	2.326
10459	MAD2L2	mitotic arrest deficient 2 like 2	-1.28	2.865
374946	DRAXIN	dorsal inhibitory axon guidance protein	-3.13	1.559
57085	AGTRAP	angiotensin II receptor associated protein	-1.833	3.026
5351	PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	-2.034	7.938
943	TNFRSF8	TNF receptor superfamily member 8	-2.808	2.42
7133	TNFRSF1B	TNF receptor superfamily member 1B	-3.806	10.851
55187	VPS13D	vacuolar protein sorting 13 homolog D	1.7	5.109
677885	SNORA59A	small nucleolar RNA, H/ACA box 59A	2.502	1.607
343069	HNRNPCL1	heterogeneous nuclear ribonucleoprotein C like 1	-1.33	2.567
440563	HNRNPCL2	heterogeneous nuclear ribonucleoprotein C like 2	-1.364	2.482
10630	PDPN	podoplanin	-3.706	15.005
23254	KAZN	kazrin, periplakin interacting protein	1.242	5.149
200197	TMEM51-AS1	TMEM51 antisense RNA 1	0.992	1.366
114827	FHAD1	forkhead associated phosphopeptide binding domain 1	-5.949	5.869
101927417	FHAD1-AS1	FHAD1 antisense RNA 1	-2.745	1.373
79180	EFHD2	EF-hand domain family member D2	-1.575	2.681
842	CASP9	caspase 9	-1.224	2.165
79814	AGMAT	agmatinase	-3.635	3.962
84301	DDI2	DNA damage inducible 1 homolog 2	1	1.381
7709	ZBTB17	zinc finger and BTB domain containing 17	-0.574	1.481
101927479	EPHA2-AS1	EPHA2 antisense RNA 1	2.562	3.306
128272	ARHGEF19	Rho guanine nucleotide exchange factor 19	1.561	4.75
101927546	ANO7L1	anoctamin 7 like 1 (pseudogene)	1.739	1.733
54455	FBXO42	F-box protein 42	0.83	2.941
11223	MST1L	macrophage stimulating 1 like (pseudogene)	1.588	1.899
23400	ATP13A2	ATPase cation transporting 13A2	-1.006	4.806
11240	PADI2	peptidyl arginine deiminase 2	-2.983	2.906
23569	PADI4	peptidyl arginine deiminase 4	-5.552	5.284
8659	ALDH4A1	aldehyde dehydrogenase 4 family member A1	0.988	1.361
126917	IFFO2	intermediate filament family orphan 2	3.816	9.958
832	CAPZB	capping actin protein of muscle Z-line subunit beta	-0.754	1.443
5320	PLA2G2A	phospholipase A2 group IIA	-5.406	2.748
64600	PLA2G2F	phospholipase A2 group IIF	6.417	7.598
55450	CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1	-1.183	1.737
1650	DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit	-0.74	2.008
400745	SH2D5	SH2 domain containing 5	-6.807	2.733
1889	ECE1	endothelin converting enzyme 1	-1.222	1.974
249	ALPL	alkaline phosphatase, biomineralization associated	-6.986	19.457
54361	WNT4	Wnt family member 4	4.617	5.389
105376845	LOC105376845	uncharacterized LOC105376845	6.622	10.007
712	C1QA	complement C1q A chain	-3.504	5.684
714	C1QC	complement C1q C chain	-4.311	9.854
713	C1QB	complement C1q B chain	-4.876	11.385
2048	EPHB2	EPH receptor B2	-1.909	2.582
6920	TCEA3	transcription elongation factor A3	2.493	8.345
3399	ID3	inhibitor of DNA binding 3	-1.345	2.089
57095	PITHD1	PITH domain containing 1	0.55	2.337
2582	GALE	UDP-galactose-4-epimerase	-1.185	1.516
2517	FUCA1	alpha-L-fucosidase 1	-1.856	1.572
58985	IL22RA1	interleukin 22 receptor subunit alpha 1	6.167	11.81
163702	IFNLR1	interferon lambda receptor 1	2.621	3.156
57822	GRHL3	grainyhead like transcription factor 3	4.789	3.608
90529	STPG1	sperm tail PG-rich repeat containing 1	0.895	1.963
11123	RCAN3	RCAN family member 3	1.38	3.11
100506985	NCMAP-DT	NCMAP divergent transcript	1.972	1.885
10250	SRRM1	serine and arginine repetitive matrix 1	0.463	2.318
25932	CLIC4	chloride intracellular channel 4	-1.301	3.147
57190	SELENON	selenoprotein N	-1.406	6.6
164091	PAQR7	progestin and adipoQ receptor family member 7	1.855	18.673
5051	PAFAH2	platelet activating factor acetylhydrolase 2	0.732	4.187
10256	CNKSR1	connector enhancer of kinase suppressor of Ras 1	2.194	2.041
91544	UBXN11	UBX domain protein 11	-1.572	1.576
1043	CD52	CD52 molecule	-1.889	3.363
55057	CRYBG2	crystallin beta-gamma domain containing 2	3.24	1.846
6195	RPS6KA1	ribosomal protein S6 kinase A1	-1.373	2.289
126695	KDF1	keratinocyte differentiation factor 1	2.507	1.686
115572	TENT5B	terminal nucleotidyltransferase 5B	4.304	5.913
23038	WDTC1	WD and tetratricopeptide repeats 1	0.712	1.467
84958	SYTL1	synaptotagmin like 1	2.918	8.278
9064	MAP3K6	mitogen-activated protein kinase kinase kinase 6	1.53	4.359
8547	FCN3	ficolin 3	-4.299	1.964
2827	GPR3	G protein-coupled receptor 3	-2.514	1.545
27245	AHDC1	AT-hook DNA binding motif containing 1	1.332	6.679
2268	FGR	FGR proto-oncogene, Src family tyrosine kinase	-3.737	8.938
2537	IFI6	interferon alpha inducible protein 6	-2.329	1.667
199870	FAM76A	family with sequence similarity 76 member A	0.843	1.48
9473	THEMIS2	thymocyte selection associated family member 2	-4.009	12.872
5724	PTAFR	platelet activating factor receptor	-2.836	3.613
83667	SESN2	sestrin 2	-1.029	1.885
1104	RCC1	regulator of chromosome condensation 1	-1.68	2.87
8420	SNHG3	small nucleolar RNA host gene 3	-1.046	2.186
115273	RAB42	RAB42, member RAS oncogene family	-2.188	2.183
6883	TAF12	TATA-box binding protein associated factor 12	-0.621	1.973
2035	EPB41	erythrocyte membrane protein band 4.1	1.127	2.512
6429	SRSF4	serine and arginine rich splicing factor 4	-0.43	1.714
7805	LAPTM5	lysosomal protein transmembrane 5	-3.549	17.734
105378620	LOC105378620	uncharacterized LOC105378620	-2.975	2.538
9672	SDC3	syndecan 3	-1.302	1.61
64129	TINAGL1	tubulointerstitial nephritis antigen like 1	-1.704	1.763
90853	SPOCD1	SPOC domain containing 1	-6.725	12.123
8073	PTP4A2	protein tyrosine phosphatase 4A2	-1.271	7.451
79140	CCDC28B	coiled-coil domain containing 28B	-0.861	1.497
56063	TMEM234	transmembrane protein 234	-0.846	2.109
3932	LCK	LCK proto-oncogene, Src family tyrosine kinase	-2.148	3.09
3065	HDAC1	histone deacetylase 1	-0.555	1.552
65108	MARCKSL1	MARCKS like 1	-1.672	1.568
55108	BSDC1	BSD domain containing 1	0.501	1.618
339487	ZBTB8OS	zinc finger and BTB domain containing 8 opposite strand	-0.572	1.781
57648	KIAA1522	KIAA1522	3.193	3.37
113452	TMEM54	transmembrane protein 54	2.223	1.481
55223	TRIM62	tripartite motif containing 62	1.729	9.635
149076	ZNF362	zinc finger protein 362	0.578	1.418
1912	PHC2	polyhomeotic homolog 2	-2.069	6.553
7579	ZSCAN20	zinc finger and SCAN domain containing 20	-1.338	1.932
114784	CSMD2	CUB and Sushi multiple domains 2	-3.595	2.958
2709	GJB5	gap junction protein beta 5	3.51	2.087
127534	GJB4	gap junction protein beta 4	5.478	3.363
2707	GJB3	gap junction protein beta 3	3.784	1.882
2701	GJA4	gap junction protein alpha 4	-3.182	2.184
100506144	TMEM35B	transmembrane protein 35B	-1.465	2.379
127703	C1orf216	chromosome 1 open reading frame 216	-0.528	1.352
63967	CLSPN	claspin	-2.257	3.813
26523	AGO1	argonaute RISC component 1	0.503	1.334
79729	SH3D21	SH3 domain containing 21	2.089	1.342
84967	LSM10	LSM10, U7 small nuclear RNA associated	-1.048	3.656
1441	CSF3R	colony stimulating factor 3 receptor	-7.904	14.942
2899	GRIK3	glutamate ionotropic receptor kainate type subunit 3	2.802	1.479
80149	ZC3H12A	zinc finger CCCH-type containing 12A	-1.118	1.543
64769	MEAF6	MYST/Esa1 associated factor 6	0.779	2.411
149175	MANEAL	mannosidase endo-alpha like	2.141	1.517
127687	C1orf122	chromosome 1 open reading frame 122	-1.115	3.753
10946	SF3A3	splicing factor 3a subunit 3	-0.512	2.183
2275	FHL3	four and a half LIM domains 3	-0.743	5.536
5453	POU3F1	POU class 3 homeobox 1	7.95	27.669
107985103	LOC107985103	replaced by ID 105378653	6.209	2.619
54933	RHBDL2	rhomboid like 2	3.312	3.475
79647	AKIRIN1	akirin 1	-0.868	5.705
23499	MACF1	microtubule actin crosslinking factor 1	0.981	1.644
8761	PABPC4	poly(A) binding protein cytoplasmic 4	-0.646	1.957
51440	HPCAL4	hippocalcin like 4	-7.369	3.819
4610	MYCL	MYCL proto-oncogene, bHLH transcription factor	2.873	6.364
105378668	MYCL-AS1	MYCL antisense RNA 1	2.956	3.362
84879	MFSD2A	MFSD2 lysolipid transporter A, lysophospholipid	3.421	6.831
10487	CAP1	cyclase associated actin cytoskeleton regulatory protein 1	-1.302	4.142
5538	PPT1	palmitoyl-protein thioesterase 1	-1.316	7.447
10269	ZMPSTE24	zinc metallopeptidase STE24	-0.58	3.026
64744	SMAP2	small ArfGAP2	-1.821	2.542
9783	RIMS3	regulating synaptic membrane exocytosis 3	1.381	1.455
1503	CTPS1	CTP synthase 1	-1.114	2.614
100132074	FOXO6	forkhead box O6	3.23	4.81
64175	P3H1	prolyl 3-hydroxylase 1	-1.549	1.968
114625	ERMAP	erythroblast membrane associated protein (Scianna blood group)	0.65	1.395
6513	SLC2A1	solute carrier family 2 member 1	2.445	2.775
440584	SLC2A1-DT	SLC2A1 divergent transcript	3.73	4.188
128218	TMEM125	transmembrane protein 125	3.562	2.29
149466	C1orf210	chromosome 1 open reading frame 210	3.374	1.971
7075	TIE1	tyrosine kinase with immunoglobulin like and EGF like domains 1	-1.647	1.603
991	CDC20	cell division cycle 20	-1.712	1.597
64834	ELOVL1	ELOVL fatty acid elongase 1	0.86	2.923
5792	PTPRF	protein tyrosine phosphatase receptor type F	2.546	4.207
9682	KDM4A	lysine demethylase 4A	0.429	1.63
533	ATP6V0B	ATPase H+ transporting V0 subunit b	-1.372	3.193
6536	SLC6A9	solute carrier family 6 member 9	2.699	3.152
128209	KLF17	KLF transcription factor 17	-4.28	1.457
100874278	ERI3-IT1	ERI3 intronic transcript 1	2.121	1.811
6202	RPS8	ribosomal protein S8	0.92	1.767
266675	BEST4	bestrophin 4	3.132	2.293
149478	BTBD19	BTB domain containing 19	-2.11	4.365
84842	HPDL	4-hydroxyphenylpyruvate dioxygenase like	-2.367	1.441
10420	TESK2	testis associated actin remodelling kinase 2	1.635	2.32
10327	AKR1A1	aldo-keto reductase family 1 member A1	-0.649	1.4
4678	NASP	nuclear autoantigenic sperm protein	-0.695	4.78
60313	GPBP1L1	GC-rich promoter binding protein 1 like 1	0.649	1.543
3652	IPP	intracisternal A particle-promoted polypeptide	0.613	1.424
110117499	P3R3URF-PIK3R3	P3R3URF-PIK3R3 readthrough	-1.967	2.661
8503	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3	-2.05	2.706
8438	RAD54L	RAD54 like	-0.967	1.34
729041	FAAHP1	fatty acid amide hydrolase pseudogene 1	3.445	2.107
100507423	MKNK1-AS1	MKNK1 antisense RNA 1	-1.833	1.332
8569	MKNK1	MAPK interacting serine/threonine kinase 1	-1.692	2.163
148932	MOB3C	MOB kinase activator 3C	-0.639	3.9
1580	CYP4B1	cytochrome P450 family 4 subfamily B member 1	5.699	4.799
10158	PDZK1IP1	PDZK1 interacting protein 1	3.013	1.739
200010	SLC5A9	solute carrier family 5 member 9	3.121	7.56
54558	SPATA6	spermatogenesis associated 6	0.932	2.044
11124	FAF1	Fas associated factor 1	0.704	5.753
26994	RNF11	ring finger protein 11	0.658	1.833
22996	TTC39A	tetratricopeptide repeat domain 39A	2.259	2.854
51060	TXNDC12	thioredoxin domain containing 12	-1.166	3.353
9372	ZFYVE9	zinc finger FYVE-type containing 9	1.38	13.101
84950	PRPF38A	pre-mRNA processing factor 38A	0.298	1.339
55268	ECHDC2	enoyl-CoA hydratase domain containing 2	1.962	2.957
7804	LRP8	LDL receptor related protein 8	-1.555	1.954
55001	TTC22	tetratricopeptide repeat domain 22	4.087	3.533
1718	DHCR24	24-dehydrocholesterol reductase	2.519	2.487
4070	TACSTD2	tumor associated calcium signal transducer 2	3.578	1.951
51361	HOOK1	hook microtubule tethering protein 1	2.796	2.314
1573	CYP2J2	cytochrome P450 family 2 subfamily J member 2	3.176	1.453
10207	PATJ	PATJ crumbs cell polarity complex component	2.613	5.889
84938	ATG4C	autophagy related 4C cysteine peptidase	-1.171	2.649
57685	CACHD1	cache domain containing 1	0.929	1.376
205	AK4	adenylate kinase 4	2.163	2.442
3953	LEPR	leptin receptor	1.786	1.526
5142	PDE4B	phosphodiesterase 4B	-2.978	4.858
55970	GNG12	G protein subunit gamma 12	1.461	5.409
79971	WLS	Wnt ligand secretion mediator	0.944	1.882
81573	ANKRD13C	ankyrin repeat domain 13C	0.535	1.461
5733	PTGER3	prostaglandin E receptor 3	2.269	2.007
51086	TNNI3K	TNNI3 interacting kinase	1.926	1.404
34	ACADM	acyl-CoA dehydrogenase medium chain	-0.521	1.802
256435	ST6GALNAC3	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3	-2.084	3.014
26009	ZZZ3	zinc finger ZZ-type containing 3	0.58	1.305
54810	GIPC2	GIPC PDZ domain containing family member 2	2.459	5.245
10964	IFI44L	interferon induced protein 44 like	-2.102	1.423
10561	IFI44	interferon induced protein 44	-1.295	1.557
64123	ADGRL4	adhesion G protein-coupled receptor L4	-1.887	1.496
105378813	LOC105378813	uncharacterized LOC105378813	6.147	2.512
107985043	LOC107985043	uncharacterized LOC107985043	4.264	2.631
101927587	LINC01725	long intergenic non-protein coding RNA 1725	4.467	4.813
5567	PRKACB	protein kinase cAMP-activated catalytic subunit beta	-1.11	3.377
2787	GNG5	G protein subunit gamma 5	-1.022	2.04
55283	MCOLN3	mucolipin TRP cation channel 3	3.121	4.731
126820	DNAI3	dynein axonemal intermediate chain 3	2.293	1.96
84144	SYDE2	synapse defective Rho GTPase homolog 2	2.336	5.457
3491	CCN1	cellular communication network factor 1	-1.718	5.089
105378824	LINC02795	long intergenic non-protein coding RNA 2795	-3.857	1.428
22802	CLCA4	chloride channel accessory 4	6.516	9.947
9403	SELENOF	selenoprotein F	-1.157	6.943
9653	HS2ST1	heparan sulfate 2-O-sulfotransferase 1	-0.793	1.498
339524	LINC01140	long intergenic non-protein coding RNA 1140	-2.532	4.062
8543	LMO4	LIM domain only 4	-0.823	1.904
2633	GBP1	guanylate binding protein 1	-1.097	1.693
115362	GBP5	guanylate binding protein 5	-2.76	4.873
23507	LRRC8B	leucine rich repeat containing 8 VRAC subunit B	1.308	1.542
55144	LRRC8D	leucine rich repeat containing 8 VRAC subunit D	-0.905	2.05
8317	CDC7	cell division cycle 7	-1.412	3.291
7049	TGFBR3	transforming growth factor beta receptor 3	1.508	2.076
50999	TMED5	transmembrane p24 trafficking protein 5	-1.665	5.765
5825	ABCD3	ATP binding cassette subfamily D member 3	1.543	17.392
1266	CNN3	calponin 3	-1.322	2.356
1806	DPYD	dihydropyrimidine dehydrogenase	-1.894	2.62
100873932	DPYD-AS1	DPYD antisense RNA 1	-3.677	2.755
391059	FRRS1	ferric chelate reductase 1	1.672	3.149
23443	SLC35A3	solute carrier family 35 member A3	0.742	1.794
1629	DBT	dihydrolipoamide branched chain transacylase E2	0.803	1.768
8634	RTCA	RNA 3'-terminal phosphate cyclase	-0.633	2.049
7412	VCAM1	vascular cell adhesion molecule 1	-2.501	2.201
148867	SLC30A7	solute carrier family 30 member 7	-0.652	1.82
51611	DPH5	diphthamide biosynthesis 5	-0.448	1.964
1901	S1PR1	sphingosine-1-phosphate receptor 1	-1.284	1.878
277	AMY1B	amylase alpha 1B	1.716	1.562
10451	VAV3	vav guanine nucleotide exchange factor 3	2.188	3.971
29957	SLC25A24	solute carrier family 25 member 24	-1.176	2.759
284611	EEIG2	EEIG family member 2	-1.098	2.917
113802	HENMT1	HEN methyltransferase 1	-1.509	2.313
29899	GPSM2	G protein signaling modulator 2	1.626	8.241
22911	WDR47	WD repeat domain 47	1.959	6.435
6884	TAF13	TATA-box binding protein associated factor 13	-0.927	1.807
57535	ELAPOR1	endosome-lysosome associated apoptosis and autophagy regulator 1	-3.826	4.363
1952	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2	3.345	4.245
5686	PSMA5	proteasome 20S subunit alpha 5	-0.599	1.428
284613	CYB561D1	cytochrome b561 family member D1	1.372	9.138
271	AMPD2	adenosine monophosphate deaminase 2	-1.753	5.776
2946	GSTM2	glutathione S-transferase mu 2	2.136	3.709
2947	GSTM3	glutathione S-transferase mu 3	1.953	2.873
388662	SLC6A17	solute carrier family 6 member 17	2.97	1.79
3749	KCNC4	potassium voltage-gated channel subfamily C member 4	0.886	1.416
3737	KCNA2	potassium voltage-gated channel subfamily A member 2	3.635	5.31
963	CD53	CD53 molecule	-4.224	16.313
128338	DRAM2	DNA damage regulated autophagy modulator 2	-1.155	1.845
1117	CHI3L2	chitinase 3 like 2	-3.923	2.237
5016	OVGP1	oviductal glycoprotein 1	1.321	1.802
128346	C1orf162	chromosome 1 open reading frame 162	-3.332	4.219
57413	TMIGD3	transmembrane and immunoglobulin domain containing 3	-6.641	6.061
140	ADORA3	adenosine A3 receptor	-3.898	2.793
5906	RAP1A	RAP1A, member of RAS oncogene family	-1.03	3.875
100506343	INKA2-AS1	INKA2 antisense RNA 1	-2.66	1.47
55917	CTTNBP2NL	CTTNBP2 N-terminal like	0.782	2.21
7482	WNT2B	Wnt family member 2B	2.67	8.033
54879	ST7L	suppression of tumorigenicity 7 like	1.088	3.233
829	CAPZA1	capping actin protein of muscle Z-line subunit alpha 1	-0.683	1.939
389	RHOC	ras homolog family member C	-0.791	2.078
333926	PPM1J	protein phosphatase, Mg2+/Mn2+ dependent 1J	2.362	1.504
10745	PHTF1	putative homeodomain transcription factor 1	-2.18	7.683
26191	PTPN22	protein tyrosine phosphatase non-receptor type 22	-2.283	3.923
101928846	HIPK1-AS1	HIPK1 antisense RNA 1	2.743	2.367
51592	TRIM33	tripartite motif containing 33	0.771	1.507
163259	DENND2C	DENN domain containing 2C	4.146	3.751
7812	CSDE1	cold shock domain containing E1	0.441	1.725
4803	NGF	nerve growth factor	-2.266	1.316
4808	NHLH2	nescient helix-loop-helix 2	7.574	12.083
126868	MAB21L3	mab-21 like 3	5.427	5.231
112268235	LOC112268235	uncharacterized LOC112268235	-1.778	1.423
3321	IGSF3	immunoglobulin superfamily member 3	2.429	2.064
914	CD2	CD2 molecule	-2.087	1.59
80263	TRIM45	tripartite motif containing 45	1.864	1.722
90874	ZNF697	zinc finger protein 697	-2.192	7.729
26227	PHGDH	phosphoglycerate dehydrogenase	2.566	9.107
105378936	LOC105378936	replaced by ID 26227	2.702	4.443
3158	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2	5.492	5.837
9554	SEC22B	SEC22 homolog B, vesicle trafficking protein	-0.834	4.802
2210	FCGR1BP	Fc gamma receptor Ib, pseudogene	-5.569	13.55
100996318	LOC100996318	uncharacterized LOC100996318	-3.16	2.384
647121	EMBP1	embigin pseudogene 1	1.394	2.746
100132417	FCGR1CP	Fc gamma receptor Ic, pseudogene	-7.706	14.507
10401	PIAS3	protein inhibitor of activated STAT 3	0.459	1.451
148741	ANKRD35	ankyrin repeat domain 35	4.386	33.595
128077	LIX1L	limb and CNS expressed 1 like	-0.948	2.096
102724364	SEC22B4P	SEC22 homolog B4, pseudogene	-0.685	1.936
171423	PDIA3P1	protein disulfide isomerase family A member 3 pseudogene 1	-1.007	3.139
100289211	LINC00624	long intergenic non-protein coding RNA 624	8.104	8.653
51205	ACP6	acid phosphatase 6, lysophosphatidic	1.459	1.559
2702	GJA5	gap junction protein alpha 5	-3.49	2.209
388685	LINC01138	long intergenic non-protein coding RNA 1138	-1.113	1.626
100996517	SEC22B3P	SEC22 homolog B3, pseudogene	-0.762	3.828
9659	PDE4DIP	phosphodiesterase 4D interacting protein	-1.045	1.926
653513	LOC653513	phosphodiesterase 4D interacting protein-like	-1.348	1.919
100996716	SEC22B2P	SEC22 homolog B2, pseudogene	-0.774	2.972
102723955	PDE4DIPP7	PDE4DIP pseudogene 7	-2.782	1.325
2209	FCGR1A	Fc gamma receptor Ia	-6.852	12.861
8337	H2AC18	H2A clustered histone 18	-1.983	2.089
723790	H2AC19	H2A clustered histone 19	-1.802	1.649
9900	SV2A	synaptic vesicle glycoprotein 2A	-1.739	1.811
51177	PLEKHO1	pleckstrin homology domain containing O1	-3.059	15.501
79630	C1orf54	chromosome 1 open reading frame 54	-2.181	5.469
148523	CIART	circadian associated repressor of transcription	3.309	3.213
23248	RPRD2	regulation of nuclear pre-mRNA domain containing 2	0.717	3.084
100289061	ADAMTSL4-AS2	ADAMTSL4 antisense RNA 2	-2.396	2.301
54507	ADAMTSL4	ADAMTS like 4	-1.765	1.808
574406	ADAMTSL4-AS1	ADAMTSL4 antisense RNA 1	-2.658	4.586
4170	MCL1	MCL1 apoptosis regulator, BCL2 family member	-1.375	2.255
107985203	LOC107985203	uncharacterized LOC107985203	2.627	2.336
2029	ENSA	endosulfine alpha	1.101	4.292
1520	CTSS	cathepsin S	-3.431	8.656
29956	CERS2	ceramide synthase 2	-1.346	8.514
8416	ANXA9	annexin A9	3.239	4.588
55793	MINDY1	MINDY lysine 48 deubiquitinase 1	1.149	11.722
149428	BNIPL	BCL2 interacting protein like	5.076	6.843
100534012	TNFAIP8L2-SCNM1	TNFAIP8L2-SCNM1 readthrough	-0.676	1.802
79626	TNFAIP8L2	TNF alpha induced protein 8 like 2	-3.073	7.535
79005	SCNM1	sodium channel modifier 1	-0.655	1.778
5993	RFX5	regulatory factor X5	-0.829	3.159
57530	CGN	cingulin	2.921	2.589
7286	TUFT1	tuftelin 1	4.388	33.086
6097	RORC	RAR related orphan receptor C	3.482	11.636
100191040	C2CD4D	C2 calcium dependent domain containing 4D	3.803	6.576
100132111	C2CD4D-AS1	C2CD4D and THEM5 antisense RNA 1	2.601	2.455
284486	THEM5	thioesterase superfamily member 5	5.115	7.433
6282	S100A11	S100 calcium binding protein A11	-1.36	2.741
2312	FLG	filaggrin	10.511	128.193
339400	FLG-AS1	FLG antisense RNA 1	6.55	21.248
388698	FLG2	filaggrin 2	10.66	48.582
49860	CRNN	cornulin	4.806	2.249
254910	LCE5A	late cornified envelope 5A	11.913	24.872
353145	LCE3E	late cornified envelope 3E	4.948	1.889
388699	LINC00302	long intergenic non-protein coding RNA 302	10.225	24.679
353141	LCE2D	late cornified envelope 2D	11.47	33.231
353140	LCE2C	late cornified envelope 2C	12.271	43.402
26239	LCE2B	late cornified envelope 2B	12.141	53.752
353139	LCE2A	late cornified envelope 2A	9.063	34.476
199834	LCE4A	late cornified envelope 4A	6.947	3.843
100129271	C1orf68	chromosome 1 open reading frame 68	10.49	74.874
448834	KPRP	keratinocyte proline rich protein	10.708	41.77
353137	LCE1F	late cornified envelope 1F	10.064	50.861
353135	LCE1E	late cornified envelope 1E	9.553	14.146
353134	LCE1D	late cornified envelope 1D	9.2	9.667
353133	LCE1C	late cornified envelope 1C	11.054	34.555
353132	LCE1B	late cornified envelope 1B	11.825	59.853
353131	LCE1A	late cornified envelope 1A	9.426	28.101
448835	LCE6A	late cornified envelope 6A	6.311	1.969
101927988	LINC01527	long intergenic non-protein coding RNA 1527	9.557	13.153
6704	SPRR2E	small proline rich protein 2E	5.138	1.361
4014	LORICRIN	loricrin cornified envelope precursor protein	10.922	134.77
114771	PGLYRP3	peptidoglycan recognition protein 3	5.632	6.472
57115	PGLYRP4	peptidoglycan recognition protein 4	4.361	3.502
6280	S100A9	S100 calcium binding protein A9	-4.634	4.002
6283	S100A12	S100 calcium binding protein A12	-8.816	8.771
6279	S100A8	S100 calcium binding protein A8	-4.123	3.05
6275	S100A4	S100 calcium binding protein A4	-1.375	2.366
57402	S100A14	S100 calcium binding protein A14	3.033	1.356
101928059	LOC101928059	uncharacterized LOC101928059	-1.393	1.703
9909	DENND4B	DENN domain containing 4B	-1.576	4.965
27173	SLC39A1	solute carrier family 39 member 1	-0.786	1.729
5872	RAB13	RAB13, member RAS oncogene family	-1.495	3.983
7170	TPM3	tropomyosin 3	-1.342	4.172
101928120	LOC101928120	uncharacterized LOC101928120	-1.258	1.347
6464	SHC1	SHC adaptor protein 1	-1.596	4.146
51043	ZBTB7B	zinc finger and BTB domain containing 7B	1.618	3.999
127579	DCST2	DC-STAMP domain containing 2	3.125	4.327
100505666	DCST1-AS1	DCST1 antisense RNA 1	3.131	6.211
1944	EFNA3	ephrin A3	4.475	6.017
200185	KRTCAP2	keratinocyte associated protein 2	-0.817	2.585
80128	TRIM46	tripartite motif containing 46	-2.781	2.183
57657	HCN3	hyperpolarization activated cyclic nucleotide gated potassium channel 3	0.961	1.941
23208	SYT11	synaptotagmin 11	-2.019	10.173
6016	RIT1	Ras like without CAAX 1	-0.973	1.857
